Destination,Service,1box(2.5kg),2box(4.5kg),3box(6.5kg),6box(15kg)
Solomon Islands,DDU Courier,63.73,97.08,131.15,273.46
Somalia,DDU Courier,18.63,20.63,23.35,32.45
South Africa,DDU Courier,41.67,59.03,76.75,150.79
South Korea,DDU Courier,18.03,22.89,28.11,49.03
South Sudan,DDU Courier,34.29,48.73,63.86,125.73
Sri Lanka,DDU Courier,31.26,39.70,48.53,84.69
Sudan,DDU Courier,58.51,74.93,92.08,162.48
Suriname,DDU Courier,45.02,59.12,73.85,134.22
Swaziland,DDU Courier,46.49,64.54,83.29,160.56
Switzerland,DDP Courier,41.68,53.94,66.51,118.88
Switzerland,DDU Courier,20.71,22.99,25.62,35.60
"Taiwan, China",DDU Courier,34.04,43.32,52.97,92.72
Tajikistan,DDU Courier,63.58,99.53,136.15,289.45
Tanzania,DDU Courier,41.44,48.98,56.95,89.36
Thailand,DDU Courier,26.53,31.22,36.28,56.49
Timor-Leste,DDU Courier,22.77,27.48,32.92,53.55
Togo,DDU Courier,40.53,51.00,61.86,106.66
Tonga,DDU Courier,62.33,91.77,121.88,247.56
Trinidad and Tobago,DDU Courier,47.77,68.25,89.36,176.90
Tunisia,DDU Courier,32.51,39.31,46.47,75.64
Turkey,DDU Courier,23.62,28.92,34.57,57.39
Turkmenistan,DDU Courier,83.63,125.09,167.19,343.89
Turks and Caicos Islands,DDU Courier,44.10,67.28,91.14,190.20
Tuvalu,DDU Courier,59.88,93.63,128.10,272.15
Uganda,DDU Courier,49.04,62.83,77.26,136.36
Ukraine,DDU Courier,28.77,30.84,33.59,42.93
United Arab Emirates,DDP Courier,13.30,16.88,20.83,36.23
United Arab Emirates,DDU Courier,12.45,16.03,19.99,35.40
United States - Mainland,Commercial,18.80,25.71,32.07,120.25
United States - Mainland,Commercial Large Dims,30.08,44.59,61.89,120.59
United States - Rest Of,Commercial,53.80,74.30,97.80,215.88
Uruguay,DDU Courier,46.59,65.40,84.59,164.83
Uzbekistan,DDU Courier,49.11,64.73,80.73,147.40
Vanuatu,DDU Courier,97.59,157.91,218.88,475.80
Viet Nam,DDU Courier,23.71,30.42,37.56,66.46
Virgin Islands (British),DDU Courier,80.12,130.28,181.19,395.01
Virgin Islands (U.S.),DDU Courier,67.72,94.45,121.85,235.99
Wallis and Futuna,DDU Courier,63.13,95.65,128.86,267.62
Yemen,DDU Courier,24.80,30.01,35.92,58.61
Zambia,DDU Courier,33.87,43.02,52.56,91.77
Zimbabwe,DDU Courier,34.32,43.59,53.25,92.98
Austria,DDU Courier,19.88,22.32,25.33,36.13
Belgium,DDU Courier,14.48,17.93,21.71,36.59
Bulgaria,DDU Courier,17.27,21.56,26.18,44.68
Croatia,DDU Courier,15.99,19.41,23.15,37.92
Cyprus,DDU Courier,29.42,37.99,47.16,84.05
Czechia,DDU Courier,14.60,18.63,23.03,40.47
Denmark,DDU Courier,22.32,26.60,31.25,49.74
