Destination,Service,0.25,0.50,0.75,1.00,1.25,1.50,1.75,2.00,2.50,3.00,3.50,4.00,4.50,5.00,5.50,6.00,6.50,7.00,7.50,8.00,8.50,9.00,9.50,10.00,15.00,20.00,25.00,30.00
Saint Kitts and Nevis,DDU Courier, £ 22.12 , £ 24.48 , £ 27.11 , £ 29.47 , £ 31.81 , £ 34.17 , £ 36.53 , £ 38.89 , £ 43.79 , £ 48.50 , £ 53.21 , £ 57.92 , £ 62.63 , £ 67.34 , £ 72.70 , £ 77.42 , £ 82.12 , £ 86.84 , £ 91.56 , £ 96.26 , £ 100.98 , £ 105.68 , £ 110.40 , £ 115.10 , £ 162.72 , £ 209.84 , £ -   , £ -   
Saint Lucia,DDU Courier, £ 28.54 , £ 31.13 , £ 33.96 , £ 36.55 , £ 39.11 , £ 41.70 , £ 44.26 , £ 46.85 , £ 52.19 , £ 57.34 , £ 62.49 , £ 67.64 , £ 72.81 , £ 77.96 , £ 83.75 , £ 88.90 , £ 94.05 , £ 99.20 , £ 104.35 , £ 109.52 , £ 114.67 , £ 119.82 , £ 124.97 , £ 130.12 , £ 182.16 , £ 233.69 , £ -   , £ -   
Saint Pierre and Miquelon,DDU Courier, £ 33.74 , £ 35.66 , £ 37.89 , £ 39.81 , £ 41.74 , £ 43.67 , £ 45.61 , £ 47.53 , £ 51.59 , £ 55.44 , £ 59.30 , £ 63.16 , £ 67.01 , £ 70.87 , £ 75.45 , £ 79.30 , £ 83.15 , £ 87.00 , £ 90.86 , £ 94.71 , £ 98.56 , £ 102.41 , £ 106.26 , £ 110.11 , £ 149.23 , £ 187.76 , £ -   , £ -   
Saint Vincent and the Grenadines,DDU Courier, £ 36.23 , £ 45.94 , £ 55.89 , £ 65.58 , £ 75.27 , £ 84.97 , £ 94.66 , £ 104.37 , £ 123.95 , £ 143.33 , £ 162.72 , £ 182.11 , £ 201.51 , £ 220.90 , £ 240.93 , £ 260.32 , £ 279.70 , £ 299.09 , £ 318.49 , £ 337.88 , £ 357.27 , £ 376.66 , £ 396.05 , £ 415.45 , £ 609.86 , £ 803.75 , £ -   , £ -   
Samoa,DDU Courier, £ 32.47 , £ 36.31 , £ 40.41 , £ 44.25 , £ 48.07 , £ 51.91 , £ 55.74 , £ 59.57 , £ 67.43 , £ 75.09 , £ 82.75 , £ 90.41 , £ 98.07 , £ 105.74 , £ 114.08 , £ 121.74 , £ 129.40 , £ 137.06 , £ 144.72 , £ 152.38 , £ 160.05 , £ 167.71 , £ 175.37 , £ 183.02 , £ 260.18 , £ 336.77 , £ -   , £ -   
San Marino,DDU Courier, £ 24.54 , £ 25.32 , £ 26.38 , £ 27.16 , £ 27.95 , £ 28.72 , £ 29.50 , £ 30.28 , £ 32.05 , £ 33.60 , £ 35.17 , £ 36.72 , £ 38.29 , £ 39.86 , £ 42.10 , £ 43.67 , £ 45.22 , £ 46.79 , £ 48.34 , £ 49.91 , £ 51.47 , £ 53.03 , £ 54.59 , £ 56.15 , £ 72.31 , £ 87.93 , £ -   , £ -   
Saudi Arabia,DDP Courier, £ 8.57 , £ 9.21 , £ 10.21 , £ 10.85 , £ 11.49 , £ 12.14 , £ 13.24 , £ 13.88 , £ 15.27 , £ 17.71 , £ 18.99 , £ 20.94 , £ 22.21 , £ 24.18 , £ 25.83 , £ 27.50 , £ 28.78 , £ 30.74 , £ 32.01 , £ 33.98 , £ 35.26 , £ 37.22 , £ 38.50 , £ 40.46 , £ 60.31 , £ 79.85 , £ 100.08 , £ 119.65 
Saudi Arabia,DDU Courier, £ 8.57 , £ 9.21 , £ 10.21 , £ 10.85 , £ 11.49 , £ 12.14 , £ 13.24 , £ 13.88 , £ 15.27 , £ 17.71 , £ 18.99 , £ 20.94 , £ 22.21 , £ 24.18 , £ 25.83 , £ 27.50 , £ 28.78 , £ 30.74 , £ 32.01 , £ 33.98 , £ 35.26 , £ 37.22 , £ 38.50 , £ 40.46 , £ 60.31 , £ 79.85 , £ 100.08 , £ 119.65 
Senegal,DDU Courier, £ 23.47 , £ 24.78 , £ 26.24 , £ 27.56 , £ 28.87 , £ 30.17 , £ 31.48 , £ 32.80 , £ 35.53 , £ 38.14 , £ 40.75 , £ 43.38 , £ 45.99 , £ 48.61 , £ 51.62 , £ 54.24 , £ 56.85 , £ 59.48 , £ 62.09 , £ 64.70 , £ 67.33 , £ 69.94 , £ 72.55 , £ 75.18 , £ 101.66 , £ 127.83 , £ -   , £ -   
Serbia,DDU Courier, £ 10.15 , £ 15.18 , £ 20.38 , £ 24.53 , £ 25.15 , £ 25.78 , £ 26.39 , £ 27.02 , £ 28.38 , £ 29.62 , £ 30.87 , £ 32.11 , £ 33.35 , £ 34.60 , £ 36.23 , £ 37.47 , £ 38.71 , £ 39.96 , £ 41.20 , £ 42.44 , £ 43.70 , £ 44.93 , £ 46.17 , £ 47.43 , £ 60.16 , £ 72.61 , £ -   , £ -   
Seychelles,DDU Courier, £ 16.50 , £ 17.79 , £ 19.26 , £ 20.56 , £ 21.86 , £ 23.15 , £ 24.44 , £ 25.74 , £ 28.45 , £ 31.05 , £ 33.63 , £ 36.23 , £ 38.83 , £ 41.41 , £ 44.41 , £ 47.01 , £ 49.59 , £ 52.19 , £ 54.79 , £ 57.37 , £ 59.97 , £ 62.55 , £ 65.15 , £ 67.75 , £ 93.99 , £ 119.91 , £ -   , £ -   
Sierra Leone,DDU Courier, £ 32.68 , £ 34.51 , £ 36.63 , £ 38.47 , £ 40.31 , £ 42.14 , £ 43.98 , £ 45.83 , £ 49.71 , £ 53.38 , £ 57.06 , £ 60.73 , £ 64.42 , £ 68.09 , £ 72.45 , £ 76.12 , £ 79.79 , £ 83.47 , £ 87.15 , £ 90.83 , £ 94.50 , £ 98.19 , £ 101.86 , £ 105.53 , £ 142.84 , £ 179.61 , £ -   , £ -   
Singapore,DDU Courier, £ 7.60 , £ 9.66 , £ 11.87 , £ 13.91 , £ 15.97 , £ 18.03 , £ 20.08 , £ 22.14 , £ 26.27 , £ 28.17 , £ 30.07 , £ 31.95 , £ 33.84 , £ 35.74 , £ 38.01 , £ 39.90 , £ 41.80 , £ 43.70 , £ 45.59 , £ 47.47 , £ 49.37 , £ 51.26 , £ 53.16 , £ 55.06 , £ 74.30 , £ 93.23 , £ -   , £ -   
Solomon Islands,DDU Courier, £ 25.69 , £ 29.87 , £ 34.34 , £ 38.50 , £ 42.67 , £ 46.83 , £ 51.01 , £ 55.18 , £ 63.73 , £ 72.06 , £ 80.41 , £ 88.74 , £ 97.08 , £ 105.41 , £ 114.49 , £ 122.82 , £ 131.15 , £ 139.49 , £ 147.82 , £ 156.17 , £ 164.50 , £ 172.83 , £ 181.17 , £ 189.50 , £ 273.46 , £ 356.82 , £ -   , £ -   
Somalia,DDU Courier, £ 15.87 , £ 16.11 , £ 16.66 , £ 16.91 , £ 17.15 , £ 17.41 , £ 17.66 , £ 17.91 , £ 18.63 , £ 19.12 , £ 19.63 , £ 20.14 , £ 20.63 , £ 21.14 , £ 22.35 , £ 22.86 , £ 23.35 , £ 23.86 , £ 24.35 , £ 24.86 , £ 25.36 , £ 25.86 , £ 26.36 , £ 26.87 , £ 32.45 , £ 37.47 , £ -   , £ -   
South Africa,DDU Courier, £ 21.90 , £ 24.06 , £ 26.38 , £ 28.54 , £ 30.72 , £ 32.89 , £ 35.05 , £ 37.23 , £ 41.67 , £ 46.01 , £ 50.35 , £ 54.68 , £ 59.03 , £ 63.37 , £ 68.06 , £ 72.40 , £ 76.75 , £ 81.08 , £ 85.42 , £ 89.77 , £ 94.09 , £ 98.44 , £ 102.78 , £ 107.13 , £ 150.79 , £ 194.21 , £ -   , £ -   
South Korea,DDU Courier, £ 7.27 , £ 9.00 , £ 10.88 , £ 12.60 , £ 14.33 , £ 15.50 , £ 16.09 , £ 16.71 , £ 18.03 , £ 19.24 , £ 20.45 , £ 21.68 , £ 22.89 , £ 24.09 , £ 25.68 , £ 26.90 , £ 28.11 , £ 29.32 , £ 30.53 , £ 31.75 , £ 32.96 , £ 34.17 , £ 35.38 , £ 36.60 , £ 49.03 , £ 61.16 , £ -   , £ -   
South Sudan,DDU Courier, £ 17.57 , £ 19.36 , £ 21.47 , £ 23.26 , £ 25.07 , £ 26.87 , £ 28.68 , £ 30.48 , £ 34.29 , £ 37.90 , £ 41.52 , £ 45.11 , £ 48.73 , £ 52.32 , £ 56.64 , £ 60.25 , £ 63.86 , £ 67.46 , £ 71.07 , £ 74.67 , £ 78.29 , £ 81.88 , £ 85.50 , £ 89.11 , £ 125.73 , £ 161.80 , £ -   , £ -   
Sri Lanka,DDU Courier, £ 21.48 , £ 22.54 , £ 23.77 , £ 24.81 , £ 25.87 , £ 26.92 , £ 27.98 , £ 29.04 , £ 31.26 , £ 33.37 , £ 35.47 , £ 37.59 , £ 39.70 , £ 41.80 , £ 44.31 , £ 46.43 , £ 48.53 , £ 50.64 , £ 52.74 , £ 54.85 , £ 56.97 , £ 59.07 , £ 61.18 , £ 63.28 , £ 84.69 , £ 105.77 , £ -   , £ -   
Sudan,DDU Courier, £ 39.52 , £ 41.56 , £ 43.90 , £ 45.97 , £ 48.01 , £ 50.07 , £ 52.13 , £ 54.18 , £ 58.51 , £ 62.61 , £ 66.72 , £ 70.82 , £ 74.93 , £ 79.05 , £ 83.85 , £ 87.97 , £ 92.08 , £ 96.18 , £ 100.29 , £ 104.40 , £ 108.52 , £ 112.62 , £ 116.73 , £ 120.83 , £ 162.48 , £ 203.57 , £ -   , £ -   
Suriname,DDU Courier, £ 28.72 , £ 30.48 , £ 32.51 , £ 34.28 , £ 36.04 , £ 37.78 , £ 39.55 , £ 41.31 , £ 45.02 , £ 48.55 , £ 52.07 , £ 55.59 , £ 59.12 , £ 62.63 , £ 66.82 , £ 70.33 , £ 73.85 , £ 77.37 , £ 80.90 , £ 84.42 , £ 87.93 , £ 91.45 , £ 94.98 , £ 98.50 , £ 134.22 , £ 169.42 , £ -   , £ -   
Swaziland,DDU Courier, £ 25.69 , £ 27.95 , £ 30.48 , £ 32.74 , £ 35.01 , £ 37.26 , £ 39.52 , £ 41.77 , £ 46.49 , £ 51.00 , £ 55.52 , £ 60.03 , £ 64.54 , £ 69.06 , £ 74.25 , £ 78.76 , £ 83.29 , £ 87.79 , £ 92.30 , £ 96.83 , £ 101.34 , £ 105.84 , £ 110.35 , £ 114.88 , £ 160.56 , £ 205.67 , £ -   , £ -   
Switzerland,DDP Courier, £ 30.96 , £ 31.63 , £ 32.87 , £ 33.96 , £ 34.99 , £ 35.95 , £ 38.53 , £ 38.53 , £ 41.68 , £ 44.74 , £ 47.82 , £ 50.88 , £ 53.94 , £ 57.01 , £ 60.37 , £ 63.45 , £ 66.51 , £ 69.58 , £ 72.64 , £ 75.70 , £ 78.78 , £ 81.84 , £ 84.90 , £ 87.97 , £ 118.88 , £ 149.54 , £ 180.76 , £ 211.42 
Switzerland,DDU Courier, £ 9.36 , £ 10.35 , £ 11.47 , £ 12.45 , £ 13.45 , £ 14.44 , £ 15.42 , £ 16.41 , £ 20.71 , £ 21.27 , £ 21.84 , £ 22.41 , £ 22.99 , £ 23.56 , £ 24.48 , £ 25.05 , £ 25.62 , £ 26.18 , £ 26.75 , £ 27.33 , £ 27.90 , £ 28.47 , £ 29.04 , £ 29.62 , £ 35.60 , £ 41.31 , £ -   , £ -   
"Taiwan, China",DDU Courier, £ 8.05 , £ 10.27 , £ 12.63 , £ 14.85 , £ 17.06 , £ 19.29 , £ 21.50 , £ 23.72 , £ 34.04 , £ 36.35 , £ 38.68 , £ 40.99 , £ 43.32 , £ 45.64 , £ 48.32 , £ 50.65 , £ 52.97 , £ 55.30 , £ 57.61 , £ 59.94 , £ 62.25 , £ 64.57 , £ 66.89 , £ 69.21 , £ 92.72 , £ 115.94 , £ -   , £ -   
Tajikistan,DDU Courier, £ 22.68 , £ 27.17 , £ 31.93 , £ 36.43 , £ 40.92 , £ 45.41 , £ 49.91 , £ 54.40 , £ 63.58 , £ 72.57 , £ 81.55 , £ 90.54 , £ 99.53 , £ 108.52 , £ 118.17 , £ 127.16 , £ 136.15 , £ 145.14 , £ 154.12 , £ 163.11 , £ 172.10 , £ 181.07 , £ 190.06 , £ 199.04 , £ 289.45 , £ 379.31 , £ -   , £ -   
Tanzania,DDU Courier, £ 32.65 , £ 33.60 , £ 34.71 , £ 35.65 , £ 36.60 , £ 37.55 , £ 38.49 , £ 39.43 , £ 41.44 , £ 43.32 , £ 45.22 , £ 47.10 , £ 48.98 , £ 50.88 , £ 53.18 , £ 55.06 , £ 56.95 , £ 58.83 , £ 60.73 , £ 62.61 , £ 64.49 , £ 66.39 , £ 68.27 , £ 70.15 , £ 89.36 , £ 108.22 , £ -   , £ -   
Thailand,DDU Courier, £ 9.49 , £ 14.81 , £ 20.27 , £ 22.90 , £ 23.48 , £ 24.06 , £ 24.65 , £ 25.24 , £ 26.53 , £ 27.69 , £ 28.87 , £ 30.04 , £ 31.22 , £ 32.38 , £ 33.93 , £ 35.10 , £ 36.28 , £ 37.44 , £ 38.62 , £ 39.78 , £ 40.96 , £ 42.13 , £ 43.31 , £ 44.47 , £ 56.49 , £ 68.21 , £ -   , £ -   
Timor-Leste,DDU Courier, £ 16.94 , £ 17.54 , £ 18.42 , £ 19.00 , £ 19.60 , £ 20.18 , £ 20.78 , £ 21.36 , £ 22.77 , £ 23.95 , £ 25.12 , £ 26.30 , £ 27.48 , £ 28.66 , £ 30.56 , £ 31.74 , £ 32.92 , £ 34.10 , £ 35.28 , £ 36.46 , £ 37.63 , £ 38.81 , £ 39.99 , £ 41.17 , £ 53.55 , £ 65.36 , £ -   , £ -   
Togo,DDU Courier, £ 28.48 , £ 29.78 , £ 31.26 , £ 32.56 , £ 33.87 , £ 35.19 , £ 36.49 , £ 37.80 , £ 40.53 , £ 43.14 , £ 45.77 , £ 48.38 , £ 51.00 , £ 53.62 , £ 56.62 , £ 59.24 , £ 61.86 , £ 64.48 , £ 67.09 , £ 69.72 , £ 72.33 , £ 74.94 , £ 77.57 , £ 80.18 , £ 106.66 , £ 132.83 , £ -   , £ -   
Tonga,DDU Courier, £ 28.72 , £ 32.41 , £ 36.37 , £ 40.04 , £ 43.73 , £ 47.40 , £ 51.09 , £ 54.76 , £ 62.33 , £ 69.69 , £ 77.05 , £ 84.41 , £ 91.77 , £ 99.13 , £ 107.16 , £ 114.52 , £ 121.88 , £ 129.24 , £ 136.60 , £ 143.97 , £ 151.33 , £ 158.69 , £ 166.05 , £ 173.41 , £ 247.56 , £ 321.17 , £ -   , £ -   
Trinidad and Tobago,DDU Courier, £ 24.29 , £ 26.84 , £ 29.66 , £ 32.22 , £ 34.78 , £ 37.34 , £ 39.90 , £ 42.46 , £ 47.77 , £ 52.89 , £ 58.01 , £ 63.13 , £ 68.25 , £ 73.37 , £ 79.12 , £ 84.24 , £ 89.36 , £ 94.48 , £ 99.60 , £ 104.72 , £ 109.84 , £ 114.96 , £ 120.09 , £ 125.21 , £ 176.90 , £ 228.11 , £ -   , £ -   
Tunisia,DDU Courier, £ 24.62 , £ 25.47 , £ 26.47 , £ 27.32 , £ 28.16 , £ 29.01 , £ 29.86 , £ 30.71 , £ 32.51 , £ 34.22 , £ 35.92 , £ 37.62 , £ 39.31 , £ 41.01 , £ 43.08 , £ 44.79 , £ 46.47 , £ 48.17 , £ 49.88 , £ 51.58 , £ 53.27 , £ 54.97 , £ 56.67 , £ 58.37 , £ 75.64 , £ 92.63 , £ -   , £ -   
Turkey,DDU Courier, £ 8.78 , £ 10.70 , £ 12.78 , £ 14.70 , £ 16.65 , £ 18.57 , £ 20.50 , £ 22.18 , £ 23.62 , £ 24.93 , £ 26.26 , £ 27.59 , £ 28.92 , £ 30.25 , £ 31.92 , £ 33.25 , £ 34.57 , £ 35.89 , £ 37.22 , £ 38.55 , £ 39.87 , £ 41.20 , £ 42.53 , £ 43.85 , £ 57.39 , £ 70.66 , £ -   , £ -   
Turkmenistan,DDU Courier, £ 36.55 , £ 41.73 , £ 47.17 , £ 52.35 , £ 57.53 , £ 62.71 , £ 67.90 , £ 73.08 , £ 83.63 , £ 94.01 , £ 104.37 , £ 114.73 , £ 125.09 , £ 135.46 , £ 146.46 , £ 156.82 , £ 167.19 , £ 177.56 , £ 187.92 , £ 198.28 , £ 208.64 , £ 219.02 , £ 229.38 , £ 239.74 , £ 343.89 , £ 447.54 , £ -   , £ -   
Turks and Caicos Islands,DDU Courier, £ 17.54 , £ 20.44 , £ 23.60 , £ 26.50 , £ 29.39 , £ 32.31 , £ 35.20 , £ 38.10 , £ 44.10 , £ 49.89 , £ 55.68 , £ 61.48 , £ 67.28 , £ 73.08 , £ 79.54 , £ 85.33 , £ 91.14 , £ 96.93 , £ 102.72 , £ 108.52 , £ 114.32 , £ 120.12 , £ 125.91 , £ 131.71 , £ 190.20 , £ 248.19 , £ -   , £ -   
Tuvalu,DDU Courier, £ 21.39 , £ 25.62 , £ 30.13 , £ 34.35 , £ 38.56 , £ 42.79 , £ 47.00 , £ 51.22 , £ 59.88 , £ 68.31 , £ 76.75 , £ 85.20 , £ 93.63 , £ 102.07 , £ 111.22 , £ 119.67 , £ 128.10 , £ 136.54 , £ 144.99 , £ 153.42 , £ 161.86 , £ 170.31 , £ 178.74 , £ 187.17 , £ 272.15 , £ 356.54 , £ -   , £ -   
Uganda,DDU Courier, £ 33.08 , £ 34.80 , £ 36.78 , £ 38.52 , £ 40.23 , £ 41.96 , £ 43.68 , £ 45.41 , £ 49.04 , £ 52.49 , £ 55.94 , £ 59.39 , £ 62.83 , £ 66.28 , £ 70.36 , £ 73.81 , £ 77.26 , £ 80.70 , £ 84.15 , £ 87.60 , £ 91.03 , £ 94.48 , £ 97.93 , £ 101.38 , £ 136.36 , £ 170.83 , £ -   , £ -   
Ukraine,DDU Courier, £ 8.78 , £ 10.02 , £ 11.55 , £ 12.81 , £ 14.06 , £ 15.32 , £ 16.57 , £ 17.82 , £ 28.77 , £ 29.29 , £ 29.81 , £ 30.32 , £ 30.84 , £ 31.36 , £ 32.56 , £ 33.08 , £ 33.59 , £ 34.11 , £ 34.63 , £ 35.14 , £ 35.66 , £ 36.19 , £ 36.69 , £ 37.22 , £ 42.93 , £ 48.11 , £ -   , £ -   
United Arab Emirates,DDP Courier, £ 9.51 , £ 9.90 , £ 10.44 , £ 10.84 , £ 11.23 , £ 11.61 , £ 12.00 , £ 12.41 , £ 13.30 , £ 14.08 , £ 15.09 , £ 15.87 , £ 16.88 , £ 17.66 , £ 19.03 , £ 19.83 , £ 20.83 , £ 21.62 , £ 22.62 , £ 23.41 , £ 24.41 , £ 25.20 , £ 26.20 , £ 26.99 , £ 36.23 , £ 45.19 , £ 54.83 , £ 63.79 
United Arab Emirates,DDU Courier, £ 8.66 , £ 9.05 , £ 9.60 , £ 9.99 , £ 10.38 , £ 10.76 , £ 11.17 , £ 11.55 , £ 12.45 , £ 13.23 , £ 14.24 , £ 15.02 , £ 16.03 , £ 16.81 , £ 18.20 , £ 18.97 , £ 19.99 , £ 20.77 , £ 21.78 , £ 22.56 , £ 23.56 , £ 24.35 , £ 25.35 , £ 26.14 , £ 35.40 , £ 44.34 , £ 54.00 , £ 62.94 
United States - Mainland,Commercial, £ 7.81 , £ 10.90 , £ 11.60 , £ 12.79 , £ 13.35 , £ 14.64 , £ 15.20 , £ 16.50 , £ 18.80 , £ 20.69 , £ 22.60 , £ 24.36 , £ 25.71 , £ 27.42 , £ 29.22 , £ 30.65 , £ 32.07 , £ 46.56 , £ 49.23 , £ 51.77 , £ 54.38 , £ 56.80 , £ 59.04 , £ 62.86 , £ 120.25 , £ 148.30 , £ 172.34 , £ 192.98 
United States - Mainland,Commercial Large Dims, £ 13.69 , £ 17.38 , £ 19.59 , £ 20.44 , £ 22.65 , £ 22.93 , £ 25.71 , £ 27.80 , £ 30.08 , £ 32.45 , £ 38.89 , £ 41.56 , £ 44.59 , £ 46.95 , £ 55.55 , £ 58.89 , £ 61.89 , £ 65.78 , £ 68.66 , £ 71.94 , £ 75.51 , £ 78.55 , £ 81.94 , £ 84.27 , £ 120.59 , £ 154.32 , £ 182.99 , £ 213.25 
United States - Rest Of,Commercial, £ 18.33 , £ 23.98 , £ 24.68 , £ 33.83 , £ 34.38 , £ 40.11 , £ 40.67 , £ 46.74 , £ 53.80 , £ 59.01 , £ 64.22 , £ 69.42 , £ 74.30 , £ 82.87 , £ 88.09 , £ 92.95 , £ 97.80 , £ 102.63 , £ 107.49 , £ 112.34 , £ 117.17 , £ 122.04 , £ 126.36 , £ 134.16 , £ 215.88 , £ 259.34 , £ 300.32 , £ 346.79 
Uruguay,DDU Courier, £ 25.15 , £ 27.51 , £ 30.02 , £ 32.37 , £ 34.72 , £ 37.07 , £ 39.43 , £ 41.77 , £ 46.59 , £ 51.29 , £ 56.00 , £ 60.70 , £ 65.40 , £ 70.10 , £ 75.18 , £ 79.88 , £ 84.59 , £ 89.29 , £ 93.99 , £ 98.69 , £ 103.40 , £ 108.10 , £ 112.80 , £ 117.50 , £ 164.83 , £ 211.85 , £ -   , £ -   
Uzbekistan,DDU Courier, £ 31.28 , £ 33.22 , £ 35.34 , £ 37.28 , £ 39.23 , £ 41.19 , £ 43.14 , £ 45.08 , £ 49.11 , £ 53.01 , £ 56.92 , £ 60.82 , £ 64.73 , £ 68.63 , £ 72.93 , £ 76.82 , £ 80.73 , £ 84.63 , £ 88.54 , £ 92.44 , £ 96.35 , £ 100.25 , £ 104.16 , £ 108.05 , £ 147.40 , £ 186.46 , £ -   , £ -   
Vanuatu,DDU Courier, £ 29.26 , £ 36.80 , £ 44.61 , £ 52.15 , £ 59.68 , £ 67.22 , £ 74.78 , £ 82.32 , £ 97.59 , £ 112.67 , £ 127.76 , £ 142.84 , £ 157.91 , £ 172.99 , £ 188.73 , £ 203.80 , £ 218.88 , £ 233.96 , £ 249.05 , £ 264.13 , £ 279.21 , £ 294.30 , £ 309.38 , £ 324.46 , £ 475.80 , £ 626.63 , £ -   , £ -   
Viet Nam,DDU Courier, £ 8.09 , £ 10.15 , £ 12.36 , £ 14.42 , £ 16.47 , £ 18.53 , £ 20.59 , £ 21.90 , £ 23.71 , £ 25.38 , £ 27.07 , £ 28.75 , £ 30.42 , £ 32.11 , £ 34.19 , £ 35.87 , £ 37.56 , £ 39.23 , £ 40.92 , £ 42.61 , £ 44.28 , £ 45.97 , £ 47.65 , £ 49.32 , £ 66.46 , £ 83.29 , £ -   , £ -   
Virgin Islands (British),DDU Courier, £ 23.15 , £ 29.42 , £ 35.99 , £ 42.26 , £ 48.53 , £ 54.82 , £ 61.09 , £ 67.36 , £ 80.12 , £ 92.66 , £ 105.20 , £ 117.74 , £ 130.28 , £ 142.84 , £ 156.11 , £ 168.65 , £ 181.19 , £ 193.73 , £ 206.28 , £ 218.82 , £ 231.36 , £ 243.90 , £ 256.44 , £ 269.00 , £ 395.01 , £ 520.44 , £ -   , £ -   
Virgin Islands (U.S.),DDU Courier, £ 37.17 , £ 40.52 , £ 44.13 , £ 47.46 , £ 50.80 , £ 54.15 , £ 57.49 , £ 60.83 , £ 67.72 , £ 74.40 , £ 81.08 , £ 87.77 , £ 94.45 , £ 101.13 , £ 108.49 , £ 115.16 , £ 121.85 , £ 128.53 , £ 135.21 , £ 141.90 , £ 148.58 , £ 155.26 , £ 161.95 , £ 168.63 , £ 235.99 , £ 302.83 , £ -   , £ -   
Wallis and Futuna,DDU Courier, £ 26.05 , £ 30.13 , £ 34.47 , £ 38.53 , £ 42.59 , £ 46.67 , £ 50.73 , £ 54.79 , £ 63.13 , £ 71.25 , £ 79.39 , £ 87.53 , £ 95.65 , £ 103.78 , £ 112.61 , £ 120.73 , £ 128.86 , £ 136.98 , £ 145.12 , £ 153.26 , £ 161.38 , £ 169.51 , £ 177.64 , £ 185.77 , £ 267.62 , £ 348.93 , £ -   , £ -   
Yemen,DDU Courier, £ 18.44 , £ 19.09 , £ 20.03 , £ 20.68 , £ 21.33 , £ 21.97 , £ 22.63 , £ 23.29 , £ 24.80 , £ 26.10 , £ 27.39 , £ 28.71 , £ 30.01 , £ 31.31 , £ 33.32 , £ 34.62 , £ 35.92 , £ 37.22 , £ 38.52 , £ 39.81 , £ 41.13 , £ 42.43 , £ 43.73 , £ 45.02 , £ 58.61 , £ 71.63 , £ -   , £ -   
Zambia,DDU Courier, £ 23.30 , £ 24.45 , £ 25.75 , £ 26.90 , £ 28.04 , £ 29.19 , £ 30.33 , £ 31.47 , £ 33.87 , £ 36.17 , £ 38.46 , £ 40.74 , £ 43.02 , £ 45.32 , £ 48.00 , £ 50.28 , £ 52.56 , £ 54.85 , £ 57.15 , £ 59.43 , £ 61.71 , £ 64.00 , £ 66.30 , £ 68.58 , £ 91.77 , £ 114.65 , £ -   , £ -   
Zimbabwe,DDU Courier, £ 23.60 , £ 24.77 , £ 26.08 , £ 27.24 , £ 28.41 , £ 29.56 , £ 30.72 , £ 31.87 , £ 34.32 , £ 36.63 , £ 38.95 , £ 41.26 , £ 43.59 , £ 45.91 , £ 48.62 , £ 50.94 , £ 53.25 , £ 55.56 , £ 57.89 , £ 60.21 , £ 62.52 , £ 64.83 , £ 67.16 , £ 69.48 , £ 92.98 , £ 116.14 , £ -   , £ -   
Austria,DDU Courier, £ 9.54 , £ 11.09 , £ 13.45 , £ 15.57 , £ 17.20 , £ 17.51 , £ 17.81 , £ 18.11 , £ 19.88 , £ 20.50 , £ 21.09 , £ 21.71 , £ 22.32 , £ 22.92 , £ 24.12 , £ 24.74 , £ 25.33 , £ 25.95 , £ 26.56 , £ 27.16 , £ 27.77 , £ 28.38 , £ 28.98 , £ 29.59 , £ 36.13 , £ 42.19 , £ -   , £ -   
Belgium,DDU Courier, £ 9.99 , £ 10.81 , £ 11.38 , £ 11.81 , £ 12.24 , £ 12.66 , £ 13.09 , £ 13.53 , £ 14.48 , £ 15.35 , £ 16.20 , £ 17.06 , £ 17.93 , £ 18.78 , £ 19.99 , £ 20.86 , £ 21.71 , £ 22.57 , £ 23.42 , £ 24.29 , £ 25.14 , £ 26.01 , £ 26.86 , £ 27.72 , £ 36.59 , £ 45.17 , £ -   , £ -   
Bulgaria,DDU Courier, £ 10.14 , £ 10.14 , £ 10.81 , £ 11.21 , £ 12.79 , £ 14.38 , £ 15.56 , £ 16.09 , £ 17.27 , £ 18.33 , £ 19.41 , £ 20.48 , £ 21.56 , £ 22.62 , £ 24.05 , £ 25.11 , £ 26.18 , £ 27.26 , £ 28.33 , £ 29.41 , £ 30.47 , £ 31.54 , £ 32.62 , £ 33.69 , £ 44.68 , £ 55.40 , £ -   , £ -   
Croatia,DDU Courier, £ 10.05 , £ 10.05 , £ 11.63 , £ 13.33 , £ 13.76 , £ 14.18 , £ 14.62 , £ 15.03 , £ 15.99 , £ 16.85 , £ 17.71 , £ 18.56 , £ 19.41 , £ 20.26 , £ 21.45 , £ 22.30 , £ 23.15 , £ 24.02 , £ 24.87 , £ 25.72 , £ 26.57 , £ 27.42 , £ 28.27 , £ 29.13 , £ 37.92 , £ 46.44 , £ -   , £ -   
Cyprus,DDU Courier, £ 8.88 , £ 10.97 , £ 13.29 , £ 15.38 , £ 17.45 , £ 19.53 , £ 21.60 , £ 23.69 , £ 29.42 , £ 31.56 , £ 33.71 , £ 35.84 , £ 37.99 , £ 40.13 , £ 42.87 , £ 45.01 , £ 47.16 , £ 49.29 , £ 51.44 , £ 53.58 , £ 55.73 , £ 57.86 , £ 60.01 , £ 62.15 , £ 84.05 , £ 105.46 , £ -   , £ -   
