Destination,Service,0.25,0.50,0.75,1.00,1.25,1.50,1.75,2.00,2.50,3.00,3.50,4.00,4.50,5.00,5.50,6.00,6.50,7.00,7.50,8.00,8.50,9.00,9.50,10.00,15.00,20.00,25.00,30.00
Anguilla,DDU Courier, £ 30.50 , £ 40.96 , £ 51.70 , £ 62.16 , £ 72.64 , £ 83.11 , £ 93.57 , £ 104.04 , £ 125.18 , £ 146.12 , £ 167.05 , £ 188.00 , £ 208.93 , £ 229.87 , £ 251.47 , £ 272.40 , £ 293.33 , £ 314.28 , £ 335.21 , £ 356.15 , £ 377.08 , £ 398.03 , £ 418.96 , £ 439.90 , £ 649.80 , £ 859.17 ,,
Antigua and Barbuda,DDU Courier, £ 22.50 , £ 25.36 , £ 28.50 , £ 31.36 , £ 34.23 , £ 37.10 , £ 39.98 , £ 42.85 , £ 48.77 , £ 54.52 , £ 60.25 , £ 65.98 , £ 71.72 , £ 77.45 , £ 83.85 , £ 89.59 , £ 95.33 , £ 101.07 , £ 106.80 , £ 112.53 , £ 118.28 , £ 124.01 , £ 129.74 , £ 135.48 , £ 193.37 , £ 250.74 ,,
Argentina,DDU Courier, £ 20.14 , £ 22.24 , £ 24.50 , £ 26.60 , £ 28.71 , £ 30.80 , £ 32.90 , £ 35.01 , £ 39.32 , £ 43.52 , £ 47.73 , £ 51.92 , £ 56.12 , £ 60.33 , £ 64.91 , £ 69.10 , £ 73.30 , £ 77.51 , £ 81.70 , £ 85.91 , £ 90.11 , £ 94.30 , £ 98.51 , £ 102.71 , £ 145.03 , £ 187.03 ,,
Armenia,DDU Courier, £ 7.99 , £ 10.45 , £ 13.08 , £ 15.54 , £ 18.00 , £ 20.47 , £ 22.95 , £ 25.41 , £ 42.79 , £ 46.43 , £ 50.09 , £ 53.73 , £ 57.37 , £ 61.01 , £ 65.06 , £ 68.72 , £ 72.36 , £ 76.00 , £ 79.64 , £ 83.30 , £ 86.94 , £ 90.59 , £ 94.23 , £ 97.89 , £ 134.66 , £ 171.13 ,,
Aruba,DDU Courier, £ 32.96 , £ 34.22 , £ 35.63 , £ 36.87 , £ 38.13 , £ 39.38 , £ 40.62 , £ 41.87 , £ 44.50 , £ 47.00 , £ 49.49 , £ 52.00 , £ 54.49 , £ 57.00 , £ 59.91 , £ 62.40 , £ 64.89 , £ 67.40 , £ 69.90 , £ 72.39 , £ 74.90 , £ 77.39 , £ 79.90 , £ 82.39 , £ 107.71 , £ 132.69 ,,
Australia,Commercial, £ 8.00 , £ 9.76 , £ 11.78 , £ 13.54 , £ 15.76 , £ 17.51 , £ 19.27 , £ 21.03 , £ 24.80 , £ 28.30 , £ 32.07 , £ 35.57 , £ 39.62 , £ 43.13 , £ 48.52 , £ 52.03 , £ 55.55 , £ 59.06 , £ 62.57 , £ 66.09 , £ 69.60 , £ 73.12 , £ 76.63 , £ 80.14 , £ 115.55 , £ 150.69 , £ -   , £ -   
Australia,Postal, £ 12.54 , £ 16.03 , £ 19.68 , £ 23.17 , £ 26.66 , £ 30.16 , £ 33.65 , £ 37.14 , £ 54.19 , £ 58.37 , £ 62.54 , £ 66.72 , £ 70.88 , £ 75.05 , £ 79.57 , £ 83.75 , £ 87.91 , £ 92.09 , £ 96.26 , £ 100.42 , £ 104.60 , £ 108.77 , £ 112.95 , £ 117.11 , £ 159.11 , £ 200.82 , £ -   , £ -   
Azerbaijan,DDU Courier, £ 28.45 , £ 29.72 , £ 31.17 , £ 32.44 , £ 33.72 , £ 35.01 , £ 36.29 , £ 37.56 , £ 40.25 , £ 42.80 , £ 45.35 , £ 47.92 , £ 50.47 , £ 53.04 , £ 55.98 , £ 58.53 , £ 61.10 , £ 63.66 , £ 66.22 , £ 68.78 , £ 71.34 , £ 73.90 , £ 76.45 , £ 79.02 , £ 104.92 , £ 130.51 ,,
Bahamas,DDU Courier, £ 32.35 , £ 34.95 , £ 37.81 , £ 40.41 , £ 43.01 , £ 45.62 , £ 48.22 , £ 50.83 , £ 56.22 , £ 61.43 , £ 66.63 , £ 71.84 , £ 77.05 , £ 82.26 , £ 88.08 , £ 93.29 , £ 98.50 , £ 103.71 , £ 108.90 , £ 114.11 , £ 119.32 , £ 124.53 , £ 129.74 , £ 134.94 , £ 187.52 , £ 239.57 ,,
Bahrain,DDP Courier, £ 11.41 , £ 12.35 , £ 13.42 , £ 14.36 , £ 15.30 , £ 16.24 , £ 17.17 , £ 18.11 , £ 20.08 , £ 21.96 , £ 23.83 , £ 25.71 , £ 27.57 , £ 29.45 , £ 32.95 , £ 34.83 , £ 37.98 , £ 39.86 , £ 43.01 , £ 44.88 , £ 48.04 , £ 49.91 , £ 53.06 , £ 54.94 , £ 80.35 , £ 105.49 ,,
